State,County,Income
Alabama,Autauga,43917
Alabama,Baldwin,47485
Alabama,Barbour,35763
Alabama,Bibb,31725
Alabama,Blount,36412
Alabama,Bullock,29080
Alabama,Butler,37523
Alabama,Calhoun,38394
Alabama,Chambers,35900
Alabama,Cherokee,36432
Alabama,Chilton,36188
Alabama,Choctaw,40145
Alabama,Clarke,37965
Alabama,Clay,34322
Alabama,Cleburne,35791
Alabama,Coffee,43979
Alabama,Colbert,39679
Alabama,Conecuh,34892
Alabama,Coosa,32523
Alabama,Covington,36756
Alabama,Crenshaw,37118
Alabama,Cullman,40818
Alabama,Dale,37853
Alabama,Dallas,38362
Alabama,DeKalb,33242
Alabama,Elmore,44316
Alabama,Escambia,34432
Alabama,Etowah,38326
Alabama,Fayette,36465
Alabama,Franklin,35292
Alabama,Geneva,36848
Alabama,Greene,33386
Alabama,Hale,38207
Alabama,Henry,43502
Alabama,Houston,44647
Alabama,Jackson,38315
Alabama,Jefferson,57329
Alabama,Lamar,35148
Alabama,Lauderdale,38758
Alabama,Lawrence,35039
Alabama,Lee,39781
Alabama,Limestone,44946
Alabama,Lowndes,40785
Alabama,Macon,34901
Alabama,Madison,54010
Alabama,Marengo,41567
Alabama,Marion,34000
Alabama,Marshall,37345
Alabama,Mobile,40112
Alabama,Monroe,35174
Alabama,Montgomery,45479
Alabama,Morgan,41741
Alabama,Perry,33529
Alabama,Pickens,33890
Alabama,Pike,38473
Alabama,Randolph,33804
Alabama,Russell,33986
Alabama,St. Clair,40766
Alabama,Shelby,56830
Alabama,Sumter,33009
Alabama,Talladega,36125
Alabama,Tallapoosa,42509
Alabama,Tuscaloosa,40648
Alabama,Walker,42477
Alabama,Washington,37837
Alabama,Wilcox,34903
Alabama,Winston,35776
Alaska,Aleutians East Borough,62537
Alaska,Aleutians West Census Area,58008
Alaska,Anchorage Municipality,70145
Alaska,Bethel Census Area,46348
Alaska,Bristol Bay Borough,151900
Alaska,Denali Borough,84166
Alaska,Dillingham Census Area,61922
Alaska,Fairbanks North Star Borough,59958
Alaska,Haines Borough,71711
Alaska,Hoonah-Angoon Census Area,64905
Alaska,Juneau City and Borough,73335
Alaska,Kenai Peninsula Borough,54870
Alaska,Ketchikan Gateway Borough,70985
Alaska,Kodiak Island Borough,66382
Alaska,Kusilvak Census Area,31944
Alaska,Lake and Peninsula Borough,65898
Alaska,Matanuska-Susitna Borough,48943
Alaska,Nome Census Area,54272
Alaska,North Slope Borough,89863
Alaska,Northwest Arctic Borough,51526
Alaska,Petersburg Borough,74021
Alaska,Prince of Wales-Hyder Census Area,49177
Alaska,Sitka City and Borough,74440
Alaska,Skagway Municipality,86519
Alaska,Southeast Fairbanks Census Area,52458
Alaska,Valdez-Cordova Census Area,64202
Alaska,Wrangell City and Borough,49549
Alaska,Yakutat City and Borough,66967
Alaska,Yukon-Koyukuk Census Area,60579
Arizona,Apache,35189
Arizona,Cochise,41766
Arizona,Coconino,49189
Arizona,Gila,41217
Arizona,Graham,31895
Arizona,Greenlee,42296
Arizona,La Paz,34006
Arizona,Maricopa,49704
Arizona,Mohave,34393
Arizona,Navajo,33268
Arizona,Pima,45456
Arizona,Pinal,32182
Arizona,Santa Cruz,39427
Arizona,Yavapai,41393
Arizona,Yuma,36570
Arkansas,Arkansas,47899
Arkansas,Ashley,37944
Arkansas,Baxter,37749
Arkansas,Benton,92697
Arkansas,Boone,36414
Arkansas,Bradley,39980
Arkansas,Calhoun,35686
Arkansas,Carroll,33021
Arkansas,Chicot,40389
Arkansas,Clark,36832
Arkansas,Clay,36459
Arkansas,Cleburne,38942
Arkansas,Cleveland,39847
Arkansas,Columbia,37456
Arkansas,Conway,38892
Arkansas,Craighead,38669
Arkansas,Crawford,33904
Arkansas,Crittenden,39041
Arkansas,Cross,38693
Arkansas,Dallas,37101
Arkansas,Desha,40943
Arkansas,Drew,37742
Arkansas,Faulkner,38949
Arkansas,Franklin,33404
Arkansas,Fulton,29020
Arkansas,Garland,41069
Arkansas,Grant,39087
Arkansas,Greene,35770
Arkansas,Hempstead,32238
Arkansas,Hot Spring,31443
Arkansas,Howard,34762
Arkansas,Independence,36476
Arkansas,Izard,30923
Arkansas,Jackson,40703
Arkansas,Jefferson,36586
Arkansas,Johnson,28920
Arkansas,Lafayette,36524
Arkansas,Lawrence,34400
Arkansas,Lee,32099
Arkansas,Lincoln,28024
Arkansas,Little River,35383
Arkansas,Logan,33386
Arkansas,Lonoke,40749
Arkansas,Madison,34245
Arkansas,Marion,31405
Arkansas,Miller,35035
Arkansas,Mississippi,36882
Arkansas,Monroe,36710
Arkansas,Montgomery,29858
Arkansas,Nevada,34274
Arkansas,Newton,30096
Arkansas,Ouachita,38801
Arkansas,Perry,36248
Arkansas,Phillips,35438
Arkansas,Pike,32499
Arkansas,Poinsett,35558
Arkansas,Polk,30984
Arkansas,Pope,35464
Arkansas,Prairie,37330
Arkansas,Pulaski,51927
Arkansas,Randolph,34352
Arkansas,St. Francis,29154
Arkansas,Saline,42688
Arkansas,Scott,31159
Arkansas,Searcy,28143
Arkansas,Sebastian,42821
Arkansas,Sevier,32001
Arkansas,Sharp,34403
Arkansas,Stone,31593
Arkansas,Union,45261
Arkansas,Van Buren,31697
Arkansas,Washington,41005
Arkansas,White,37082
Arkansas,Woodruff,39902
Arkansas,Yell,33260
California,Alameda,81171
California,Alpine,72155
California,Amador,45920
California,Butte,47860
California,Calaveras,51131
California,Colusa,51342
California,Contra Costa,85324
California,Del Norte,38445
California,El Dorado,69895
California,Fresno,45487
California,Glenn,49194
California,Humboldt,49654
California,Imperial,40447
California,Inyo,60513
California,Kern,41843
California,Kings,39433
California,Lake,44259
California,Lassen,38130
California,Los Angeles,65094
California,Madera,41267
California,Marin,141735
California,Mariposa,56354
California,Mendocino,52976
California,Merced,41077
California,Modoc,51088
California,Mono,53500
California,Monterey,59838
California,Napa,75717
California,Nevada,63542
California,Orange,71711
California,Placer,68936
California,Plumas,55910
California,Riverside,42418
California,Sacramento,55266
California,San Benito,55261
California,San Bernardino,42043
California,San Diego,63729
California,San Francisco,139405
California,San Joaquin,47139
California,San Luis Obispo,61004
California,San Mateo,134107
California,Santa Barbara,66076
California,Santa Clara,115997
California,Santa Cruz,71592
California,Shasta,48438
California,Sierra,47245
California,Siskiyou,48021
California,Solano,53505
California,Sonoma,66700
California,Stanislaus,45742
California,Sutter,47605
California,Tehama,43268
California,Trinity,43471
California,Tulare,42845
California,Tuolumne,48841
California,Ventura,64715
California,Yolo,56123
California,Yuba,43536
Colorado,Adams,45481
Colorado,Alamosa,40076
Colorado,Arapahoe,64477
Colorado,Archuleta,43088
Colorado,Baca,43297
Colorado,Bent,31374
Colorado,Boulder,76527
Colorado,Broomfield,70996
Colorado,Chaffee,49036
Colorado,Cheyenne,55188
Colorado,Clear Creek,61816
Colorado,Conejos,38385
Colorado,Costilla,35621
Colorado,Crowley,20822
Colorado,Custer,42381
Colorado,Delta,39339
Colorado,Denver,81405
Colorado,Dolores,38005
Colorado,Douglas,78455
Colorado,Eagle,84765
Colorado,Elbert,60586
Colorado,El Paso,51117
Colorado,Fremont,36966
Colorado,Garfield,60285
Colorado,Gilpin,50346
Colorado,Grand,51891
Colorado,Gunnison,48853
Colorado,Hinsdale,50294
Colorado,Huerfano,41561
Colorado,Jackson,55715
Colorado,Jefferson,66017
Colorado,Kiowa,54765
Colorado,Kit Carson,45658
Colorado,Lake,37391
Colorado,La Plata,58216
Colorado,Larimer,55884
Colorado,Las Animas,39762
Colorado,Lincoln,30855
Colorado,Logan,46697
Colorado,Mesa,46719
Colorado,Mineral,75044
Colorado,Moffat,43842
Colorado,Montezuma,43542
Colorado,Montrose,41852
Colorado,Morgan,47774
Colorado,Otero,39708
Colorado,Ouray,64076
Colorado,Park,46261
Colorado,Phillips,49259
Colorado,Pitkin,158313
Colorado,Prowers,44623
Colorado,Pueblo,40680
Colorado,Rio Blanco,49846
Colorado,Rio Grande,50408
Colorado,Routt,81699
Colorado,Saguache,37022
Colorado,San Juan,47933
Colorado,San Miguel,90444
Colorado,Sedgwick,48824
Colorado,Summit,71479
Colorado,Teller,51206
Colorado,Washington,43765
Colorado,Weld,50198
Colorado,Yuma,49201
Connecticut,Fairfield,121397
Connecticut,Hartford,65720
Connecticut,Litchfield,65458
Connecticut,Middlesex,69167
Connecticut,New Haven,57748
Connecticut,New London,59717
Connecticut,Tolland,57307
Connecticut,Windham,47618
Delaware,Kent,43097
Delaware,New Castle,59175
Delaware,Sussex,52085
District of Columbia,District of Columbia,83406
Florida,Alachua,46690
Florida,Baker,33254
Florida,Bay,45690
Florida,Bradford,34179
Florida,Brevard,47911
Florida,Broward,52308
Florida,Calhoun,29526
Florida,Charlotte,42793
Florida,Citrus,39055
Florida,Clay,44042
Florida,Collier,99382
Florida,Columbia,35583
Florida,DeSoto,26128
Florida,Dixie,28314
Florida,Duval,47475
Florida,Escambia,44349
Florida,Flagler,47558
Florida,Franklin,37320
Florida,Gadsden,35885
Florida,Gilchrist,34756
Florida,Glades,26102
Florida,Gulf,46346
Florida,Hamilton,27643
